"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,6,"ASM","American Samoa",1,"Eastern",1,"Ituau","AS.ET.IT",NA,"","County","County","",""
2,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi","AS.ET.MA",NA,"","County","County","",""
3,6,"ASM","American Samoa",1,"Eastern",3,"Sa'Ole","AS.ET.SA",NA,"","County","County","",""
4,6,"ASM","American Samoa",1,"Eastern",4,"Sua","AS.ET.SU",NA,"","County","County","",""
5,6,"ASM","American Samoa",1,"Eastern",5,"Vaifanua","AS.ET.VA",NA,"","County","County","",""
6,6,"ASM","American Samoa",2,"Manu'a",6,"Faleasao","AS.MA.FA",NA,"","County","County","",""
7,6,"ASM","American Samoa",2,"Manu'a",7,"Fitiuta","AS.MA.FI",NA,"","County","County","",""
8,6,"ASM","American Samoa",2,"Manu'a",8,"Ofu","AS.MA.OF",NA,"","County","County","",""
9,6,"ASM","American Samoa",2,"Manu'a",9,"Olosega","AS.MA.OL",NA,"","County","County","",""
10,6,"ASM","American Samoa",2,"Manu'a",10,"Ta'u","AS.MA.TA",NA,"","County","County","",""
11,6,"ASM","American Samoa",3,"Unorganized",11,"Rose Island","",NA,"","County","County","",""
12,6,"ASM","American Samoa",3,"Unorganized",12,"Swains","AS.UU.SW",NA,"","County","County","",""
13,6,"ASM","American Samoa",4,"Western",13,"Lealataua","AS.WT.LL",NA,"","County","County","",""
14,6,"ASM","American Samoa",4,"Western",14,"Leasina","AS.WT.LS",NA,"","County","County","",""
15,6,"ASM","American Samoa",4,"Western",15,"Tualatai","AS.WT.TI",NA,"","County","County","",""
16,6,"ASM","American Samoa",4,"Western",16,"Tualauta","AS.WT.TU",NA,"","County","County","",""
