"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,6,"ASM","American Samoa",1,"Eastern",1,"Ituau",1,"Faganeanea",NA,"","Village","Village","",""
2,6,"ASM","American Samoa",1,"Eastern",1,"Ituau",2,"Fagasa",NA,"","Village","Village","",""
3,6,"ASM","American Samoa",1,"Eastern",1,"Ituau",3,"Matu'u",NA,"","Village","Village","",""
4,6,"ASM","American Samoa",1,"Eastern",1,"Ituau",4,"Nu'uuli",NA,"","Village","Village","",""
5,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",5,"Anua",NA,"","Village","Village","",""
6,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",6,"Atu'u",NA,"","Village","Village","",""
7,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",7,"Aua",NA,"","Village","Village","",""
8,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",8,"Faga'alu",NA,"","Village","Village","",""
9,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",9,"Fagatogo",NA,"","Village","Village","",""
10,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",10,"Fatumafuti",NA,"","Village","Village","",""
11,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",11,"Leloaloa",NA,"","Village","Village","",""
12,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",12,"Pago Pago",NA,"","Village","Village","",""
13,6,"ASM","American Samoa",1,"Eastern",2,"Ma'Oputasi",13,"Utulei",NA,"","Village","Village","",""
14,6,"ASM","American Samoa",1,"Eastern",3,"Sa'Ole",14,"Alofau",NA,"","Village","Village","",""
15,6,"ASM","American Samoa",1,"Eastern",3,"Sa'Ole",15,"Amouli",NA,"","Village","Village","",""
16,6,"ASM","American Samoa",1,"Eastern",3,"Sa'Ole",16,"Auasi",NA,"","Village","Village","",""
17,6,"ASM","American Samoa",1,"Eastern",3,"Sa'Ole",17,"Aunu'u",NA,"","Village","Village","",""
18,6,"ASM","American Samoa",1,"Eastern",3,"Sa'Ole",18,"Pagai",NA,"","Village","Village","",""
19,6,"ASM","American Samoa",1,"Eastern",3,"Sa'Ole",19,"Utumea East",NA,"","Village","Village","",""
20,6,"ASM","American Samoa",1,"Eastern",4,"Sua",20,"Afono",NA,"","Village","Village","",""
21,6,"ASM","American Samoa",1,"Eastern",4,"Sua",21,"Alega",NA,"","Village","Village","",""
22,6,"ASM","American Samoa",1,"Eastern",4,"Sua",22,"Amaua",NA,"","Village","Village","",""
23,6,"ASM","American Samoa",1,"Eastern",4,"Sua",23,"Aumi",NA,"","Village","Village","",""
24,6,"ASM","American Samoa",1,"Eastern",4,"Sua",24,"Auto",NA,"","Village","Village","",""
25,6,"ASM","American Samoa",1,"Eastern",4,"Sua",25,"Avaio",NA,"","Village","Village","",""
26,6,"ASM","American Samoa",1,"Eastern",4,"Sua",26,"Faga'itua",NA,"","Village","Village","",""
27,6,"ASM","American Samoa",1,"Eastern",4,"Sua",27,"Lauli'i",NA,"","Village","Village","",""
28,6,"ASM","American Samoa",1,"Eastern",4,"Sua",28,"Masausi",NA,"","Village","Village","",""
29,6,"ASM","American Samoa",1,"Eastern",4,"Sua",29,"Masefau",NA,"","Village","Village","",""
30,6,"ASM","American Samoa",1,"Eastern",4,"Sua",30,"Sa'ilele",NA,"","Village","Village","",""
31,6,"ASM","American Samoa",1,"Eastern",5,"Vaifanua",31,"Alao",NA,"","Village","Village","",""
32,6,"ASM","American Samoa",1,"Eastern",5,"Vaifanua",32,"Aoa",NA,"","Village","Village","",""
33,6,"ASM","American Samoa",1,"Eastern",5,"Vaifanua",33,"Onenoa",NA,"","Village","Village","",""
34,6,"ASM","American Samoa",1,"Eastern",5,"Vaifanua",34,"Tula",NA,"","Village","Village","",""
35,6,"ASM","American Samoa",1,"Eastern",5,"Vaifanua",35,"Vatia",NA,"","Village","Village","",""
36,6,"ASM","American Samoa",2,"Manu'a",6,"Faleasao",36,"Faleasao",NA,"","Village","Village","",""
37,6,"ASM","American Samoa",2,"Manu'a",7,"Fitiuta",37,"Leusoali'i",NA,"","Village","Village","",""
38,6,"ASM","American Samoa",2,"Manu'a",7,"Fitiuta",38,"Maia",NA,"","Village","Village","",""
39,6,"ASM","American Samoa",2,"Manu'a",8,"Ofu",39,"Ofu",NA,"","Village","Village","",""
40,6,"ASM","American Samoa",2,"Manu'a",9,"Olosega",40,"Olosega",NA,"","Village","Village","",""
41,6,"ASM","American Samoa",2,"Manu'a",9,"Olosega",41,"Sili",NA,"","Village","Village","",""
42,6,"ASM","American Samoa",2,"Manu'a",10,"Ta'u",42,"Luma",NA,"","Village","Village","",""
